"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"64723","28140","Kansas City, MO-KS","AMSTERDAM",786,1 
"64724"," "," ","APPLETON CITY",1931,0.888 
"64724","28140","Kansas City, MO-KS","APPLETON CITY",243,0.112 
"64725","28140","Kansas City, MO-KS","ARCHIE",1785,1 
"64726"," "," ","BLAIRSTOWN",507,0.925 
"64726","47660","Warrensburg, MO","BLAIRSTOWN",41,0.075 
"64728"," "," ","BRONAUGH",586,1 
"64730","28140","Kansas City, MO-KS","BUTLER",7174,1 
"64733"," "," ","CHILHOWEE",227,0.204 
"64733","47660","Warrensburg, MO","CHILHOWEE",884,0.796 
"64734","28140","Kansas City, MO-KS","CLEVELAND",1858,1 
"64735"," "," ","TIGHTWAD",12910,1 
"64738"," "," ","COLLINS",1204,1 
"64739"," "," ","CREIGHTON",167,0.185 
"64739","28140","Kansas City, MO-KS","CREIGHTON",737,0.815 
"64740"," "," ","DEEPWATER",1965,1 
"64741"," "," ","DEERFIELD",367,1 
"64742","28140","Kansas City, MO-KS","DREXEL",2140,1 
"64743","28140","Kansas City, MO-KS","EAST LYNNE",308,1 
"64744"," "," ","EL DORADO SPRING",7985,1 
"64745","28140","Kansas City, MO-KS","FOSTER",51,1 
"64746","28140","Kansas City, MO-KS","FREEMAN",1534,1 
"64747","28140","Kansas City, MO-KS","GARDEN CITY",3552,0.938 
"64747","47660","Warrensburg, MO","GARDEN CITY",233,0.062 
"64748"," "," ","GOLDEN CITY",1547,0.927 
"64748","27900","Joplin, MO","GOLDEN CITY",122,0.073 
"64750"," "," ","HARWOOD",422,1 
"64751"," "," ","HORTON",265,1 
"64752"," "," ","STOTESBURY",192,0.238 
"64752","28140","Kansas City, MO-KS","STOTESBURY",614,0.762 
"64755"," "," ","JASPER",416,0.155 
"64755","27900","Joplin, MO","JASPER",2273,0.845 
"64756"," "," ","JERICO SPRINGS",777,1 
"64759"," "," ","IANTHA",8151,1 
"64761"," "," ","LEETON",112,0.075 
"64761","47660","Warrensburg, MO","LEETON",1373,0.925 
"64762"," "," ","LIBERAL",1632,1 
"64763"," "," ","LOWRY CITY",1450,1 
"64767"," "," ","MILO",730,1 
"64769"," "," ","MINDENMINES",678,1 
"64770"," "," ","MONTROSE",949,0.91 
"64770","28140","Kansas City, MO-KS","MONTROSE",94,0.09 
"64771"," "," ","MOUNDVILLE",537,1 
"64772"," "," ","NEVADA",13289,1 
"64776"," "," ","OSCEOLA",3509,1 
"64778"," "," ","RICHARDS",331,1 
"64779"," "," ","RICH HILL",373,0.135 
"64779","28140","Kansas City, MO-KS","RICH HILL",2397,0.865 
"64780"," "," ","ROCKVILLE",223,0.356 
"64780","28140","Kansas City, MO-KS","ROCKVILLE",404,0.644 
"64781"," "," ","ROSCOE",84,1 
"64783"," "," ","SCHELL CITY",835,1 
"64784"," "," ","SHELDON",1347,1 
"64788"," "," ","URICH",1135,0.889 
"64788","28140","Kansas City, MO-KS","URICH",141,0.111 
"64790"," "," ","WALKER",853,1 
"64801","27900","Joplin, MO","JOPLIN",32628,1 
"64804","27900","Joplin, MO","JOPLIN",34586,1 
"64830","27900","Joplin, MO","ALBA",652,1 
"64831","22220","Fayetteville-Springdale-Rogers, AR-MO","ANDERSON",5933,1 
"64832"," "," ","ASBURY",139,0.192 
