"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"65618"," "," ","BRIXEY",158,1 
"65619","44180","Springfield, MO","BROOKLINE STATIO",4213,1 
"65620"," "," ","BRUNER",13,0.034 
"65620","44180","Springfield, MO","BRUNER",366,0.966 
"65622","44180","Springfield, MO","BUFFALO",7893,1 
"65623"," "," ","BUTTERFIELD",39,1 
"65624","14700","Branson, MO","CAPE FAIR",395,1 
"65625"," "," ","CASSVILLE",7655,1 
"65626"," "," ","CAULFIELD",754,0.449 
"65626","48460","West Plains, MO","CAULFIELD",924,0.551 
"65627","14700","Branson, MO","CEDARCREEK",507,1 
"65629","44180","Springfield, MO","CHADWICK",781,1 
"65630","44180","Springfield, MO","CHESTNUTRIDGE",159,1 
"65631","14700","Branson, MO","CLEVER",451,0.179 
"65631","44180","Springfield, MO","CLEVER",2070,0.821 
"65632","30060","Lebanon, MO","CONWAY",1686,0.609 
"65632","44180","Springfield, MO","CONWAY",1084,0.391 
"65633"," "," ","CRANE",426,0.118 
"65633","14700","Branson, MO","CRANE",3179,0.882 
"65634"," "," ","CROSS TIMBERS",713,1 
"65635"," "," ","DADEVILLE",571,1 
"65637"," "," ","DORA",908,0.781 
"65637","48460","West Plains, MO","DORA",254,0.219 
"65638"," "," ","DRURY",462,1 
"65640"," "," ","DUNNEGAN",124,0.163 
"65640","44180","Springfield, MO","DUNNEGAN",639,0.837 
"65641"," "," ","EAGLE ROCK",1378,1 
"65644","44180","Springfield, MO","ELKLAND",2509,1 
"65646"," "," ","EVERTON",1881,1 
"65647"," "," ","EXETER",2186,0.983 
"65647","22220","Fayetteville-Springdale-Rogers, AR-MO","EXETER",37,0.017 
"65648","44180","Springfield, MO","FAIR GROVE",4469,1 
"65649"," "," ","FAIR PLAY",432,0.31 
"65649","44180","Springfield, MO","FAIR PLAY",961,0.69 
"65650"," "," ","FLEMINGTON",612,0.531 
"65650","44180","Springfield, MO","FLEMINGTON",541,0.469 
"65652"," "," ","FORDLAND",49,0.013 
"65652","44180","Springfield, MO","FORDLAND",3641,0.987 
"65653","14700","Branson, MO","FORSYTH",4678,0.988 
"65653","44180","Springfield, MO","FORSYTH",57,0.012 
"65655"," "," ","GAINESVILLE",2955,1 
"65656"," "," ","GALENA",201,0.035 
"65656","14700","Branson, MO","GALENA",5508,0.965 
"65657","44180","Springfield, MO","GARRISON",135,1 
"65658"," "," ","GOLDEN",1019,1 
"65659","44180","Springfield, MO","GOODSON",357,1 
"65660"," "," ","GRAFF",215,1 
"65661"," "," ","GREENFIELD",2728,1 
"65662"," "," ","GROVESPRING",980,0.833 
"65662","30060","Lebanon, MO","GROVESPRING",196,0.167 
"65663","44180","Springfield, MO","HALF WAY",1906,1 
"65664"," "," ","HALLTOWN",39,1 
"65667"," "," ","HARTVILLE",3146,1 
"65668"," "," ","HERMITAGE",1628,1 
"65669","14700","Branson, MO","HIGHLANDVILLE",197,0.121 
"65669","44180","Springfield, MO","HIGHLANDVILLE",1437,0.879 
"65672","14700","Branson, MO","HOLLISTER",7803,1 
"65674"," "," ","HUMANSVILLE",820,0.331 
"65674","44180","Springfield, MO","HUMANSVILLE",1659,0.669 
"65675","14700","Branson, MO","HURLEY",106,1 
"65676"," "," ","ISABELLA",549,1 
"65679","14700","Branson, MO","KIRBYVILLE",2393,1 
"65680","14700","Branson, MO","KISSEE MILLS",960,1 
"65681","14700","Branson, MO","LAMPE",2261,1 
"65682"," "," ","LOCKWOOD",2002,1 
"65685","44180","Springfield, MO","LOUISBURG",967,1 
"65686","14700","Branson, MO","KIMBERLING CITY",4356,1 
"65689"," "," ","CABOOL",4732,0.995 
"65689","48460","West Plains, MO","CABOOL",23,0.005 
"65690"," "," ","COUCH",494,1 
"65692"," "," ","KOSHKONONG",859,0.728 
"65692","48460","West Plains, MO","KOSHKONONG",321,0.272 
"65701","14700","Branson, MO","MC CLURG",25,1 
"65702"," "," ","MACOMB",470,1 
"65704"," "," ","MANSFIELD",3739,1 
"65705"," "," ","MARIONVILLE",3405,0.912 
"65705","14700","Branson, MO","MARIONVILLE",328,0.088 
"65706","44180","Springfield, MO","MARSHFIELD",12907,1 
"65707"," "," ","MILLER",2117,1 
"65708"," "," ","MONETT",11325,1 
"65710","44180","Springfield, MO","MORRISVILLE",1129,1 
"65711"," "," ","MOUNTAIN GROVE",9463,1 
"65712"," "," ","MOUNT VERNON",7114,1 
"65713"," "," ","NIANGUA",266,0.111 
"65713","44180","Springfield, MO","NIANGUA",2137,0.889 
"65714","14700","Branson, MO","NIXA",377,0.018 
"65714","44180","Springfield, MO","NIXA",20633,0.982 
"65715"," "," ","NOBLE",146,1 
"65717"," "," ","NORWOOD",2374,1 
"65720"," "," ","OLDFIELD",193,0.417 
"65720","44180","Springfield, MO","OLDFIELD",270,0.583 
"65721","44180","Springfield, MO","OZARK",19117,1 
"65722","30060","Lebanon, MO","PHILLIPSBURG",1424,0.947 
"65722","44180","Springfield, MO","PHILLIPSBURG",80,0.053 
"65723"," "," ","PIERCE CITY",3148,0.86 
"65723","27900","Joplin, MO","PIERCE CITY",514,0.14 
"65724"," "," ","PITTSBURG",1330,0.972 
"65724","44180","Springfield, MO","PITTSBURG",39,0.028 
"65725","44180","Springfield, MO","PLEASANT HOPE",2316,1 
"65727"," "," ","POLK",7,0.045 
"65727","44180","Springfield, MO","POLK",150,0.955 
"65728","14700","Branson, MO","PONCE DE LEON",89,0.817 
"65728","44180","Springfield, MO","PONCE DE LEON",20,0.183 
"65729"," "," ","PONTIAC",223,1 
"65730","22220","Fayetteville-Springdale-Rogers, AR-MO","POWELL",158,1 
"65731","14700","Branson, MO","POWERSITE",346,1 
"65732"," "," ","PRESTON",815,1 
"65733","14700","Branson, MO","PROTEM",308,1 
"65734"," "," ","PURDY",3220,1 
"65734","27900","Joplin, MO","PURDY",1,0 
"65735"," "," ","QUINCY",191,1 
"65737","14700","Branson, MO","BRANSON WEST",6315,0.998 
"65737","44180","Springfield, MO","BRANSON WEST",15,0.002 
"65738"," "," ","REPUBLIC",33,0.003 
"65738","44180","Springfield, MO","REPUBLIC",11226,0.997 
"65739","14700","Branson, MO","RIDGEDALE",1072,1 
"65740","14700","Branson, MO","ROCKAWAY BEACH",2649,1 
"65742","44180","Springfield, MO","ROGERSVILLE",8740,1 
"65744","14700","Branson, MO","RUETER",144,1 
"65745"," "," ","SELIGMAN",2360,1 
"65746"," "," ","SEYMOUR",513,0.074 
"65746","44180","Springfield, MO","SEYMOUR",6452,0.926 
"65747"," "," ","SHELL KNOB",2286,0.638 
"65747","14700","Branson, MO","SHELL KNOB",1299,0.362 
"65752"," "," ","SOUTH GREENFIELD",478,1 
"65753"," "," ","SPARTA",17,0.004 
"65753","44180","Springfield, MO","SPARTA",3897,0.996 
"65754","44180","Springfield, MO","SPOKANE",737,1 
"65755"," "," ","SQUIRES",467,1 
"65756"," "," ","STOTTS CITY",790,1 
"65757","44180","Springfield, MO","STRAFFORD",5862,1 
"65759","14700","Branson, MO","TANEYVILLE",1164,1 
"65760"," "," ","TECUMSEH",624,1 
"65761"," "," ","DUGGINSVILLE",1076,0.933 
"65761","14700","Branson, MO","DUGGINSVILLE",77,0.067 
"65762"," "," ","NOTTINGHILL",453,1 
"65764","44180","Springfield, MO","TUNAS",1265,1 
"65766"," "," ","UDALL",148,1 
"65767"," "," ","URBANA",670,0.347 
"65767","44180","Springfield, MO","URBANA",1261,0.653 
"65768"," "," ","VANZANT",383,1 
"65769"," "," ","VERONA",3121,1 
"65770"," "," ","WALNUT GROVE",116,0.042 
"65770","44180","Springfield, MO","WALNUT GROVE",2637,0.958 
"65771","14700","Branson, MO","WALNUT SHADE",896,1 
"65772"," "," ","WASHBURN",1746,0.754 
"65772","22220","Fayetteville-Springdale-Rogers, AR-MO","WASHBURN",569,0.246 
"65773"," "," ","SOUDER",778,1 
"65774"," "," ","WEAUBLEAU",1097,1 
"65775"," "," ","WEST PLAINS",480,0.021 
"65775","48460","West Plains, MO","WEST PLAINS",22328,0.979 
"65777","48460","West Plains, MO","MOODY",337,1 
"65778"," "," ","MYRTLE",551,1 
"65779"," "," ","WHEATLAND",1913,1 
"65781","44180","Springfield, MO","WILLARD",6300,1 
"65783","44180","Springfield, MO","WINDYVILLE",153,1 
"65784"," "," ","ZANONI",34,1 
"65785"," "," ","STOCKTON",5062,1 
"65786"," "," ","MACKS CREEK",2017,0.977 
"65786","44180","Springfield, MO","MACKS CREEK",47,0.023 
"65787"," "," ","ROACH",1104,1 
"65788"," "," ","PEACE VALLEY",20,0.045 
"65788","48460","West Plains, MO","PEACE VALLEY",427,0.955 
"65789","48460","West Plains, MO","POMONA",1889,1 
"65790"," "," ","POTTERSVILLE",102,0.158 
"65790","48460","West Plains, MO","POTTERSVILLE",544,0.842 
"65791"," "," ","THAYER",4267,1 
"65793"," "," ","WILLOW SPRINGS",914,0.152 
"65793","48460","West Plains, MO","WILLOW SPRINGS",5105,0.848 
"65802","44180","Springfield, MO","SPRINGFIELD",39272,1 
"65803","44180","Springfield, MO","SPRINGFIELD",38453,1 
"65804","44180","Springfield, MO","SPRINGFIELD",35482,1 
"65806","44180","Springfield, MO","SPRINGFIELD",11073,1 
"65807","44180","Springfield, MO","SPRINGFIELD",49132,1 
"65809","44180","Springfield, MO","SPRINGFIELD",9501,1 
"65810","44180","Springfield, MO","SPRINGFIELD",15904,1 
"72644","14700","Branson, MO","LEAD HILL",13,1 
